customer_id,region_id,node_id,start_id,end_date
1,3,4, 2020-01-02, 2020-01-03
1,3,4, 2020-01-04, 2020-01-14
1,3,2, 2020-01-15, 2020-01-16
1,3,5, 2020-01-17, 2020-01-28
1,3,3, 2020-01-29, 2020-02-18
1,3,2, 2020-02-19, 2020-03-16
1,3,2, 2020-03-17, 9999-12-31
2,3,5, 2020-01-03, 2020-01-17
2,3,3, 2020-01-18, 2020-02-09
2,3,3, 2020-02-10, 2020-02-21
2,3,5, 2020-02-22, 2020-03-07
2,3,2, 2020-03-08, 2020-03-12
2,3,4, 2020-03-13, 2020-03-13
2,3,4, 2020-03-14, 9999-12-31
3,5,4, 2020-01-27, 2020-02-18
3,5,5, 2020-02-19, 2020-03-06
3,5,3, 2020-03-07, 2020-03-24
3,5,4, 2020-03-25, 2020-04-08
3,5,1, 2020-04-09, 2020-04-09
3,5,4, 2020-04-10, 2020-04-24
3,5,2, 2020-04-25, 9999-12-31
4,5,4, 2020-01-07, 2020-01-19
4,5,4, 2020-01-20, 2020-02-13
4,5,3, 2020-02-14, 2020-03-02
4,5,5, 2020-03-03, 2020-03-12
4,5,3, 2020-03-13, 2020-03-27
4,5,3, 2020-03-28, 2020-04-01
4,5,3, 2020-04-02, 9999-12-31
5,3,3, 2020-01-15, 2020-01-23
5,3,1, 2020-01-24, 2020-01-30
5,3,1, 2020-01-31, 2020-02-05
5,3,4, 2020-02-06, 2020-02-15
5,3,2, 2020-02-16, 2020-02-29
5,3,5, 2020-03-01, 2020-03-05
5,3,5, 2020-03-06, 9999-12-31
6,1,1, 2020-01-11, 2020-02-06
6,1,1, 2020-02-07, 2020-02-29
6,1,4, 2020-03-01, 2020-03-25
6,1,2, 2020-03-26, 2020-04-11
6,1,2, 2020-04-12, 2020-04-30
6,1,4, 2020-05-01, 2020-05-29
6,1,5, 2020-05-30, 9999-12-31
7,2,5, 2020-01-20, 2020-02-04
7,2,4, 2020-02-05, 2020-02-20
7,2,4, 2020-02-21, 2020-02-26
7,2,2, 2020-02-27, 2020-03-05
7,2,2, 2020-03-06, 2020-04-01
7,2,4, 2020-04-02, 2020-04-07
